COTIZACION ANDAMIOS Y TABLONES,COTIZACION ANDAMIOS Y TABLONES,COTIZACION ANDAMIOS Y TABLONES,COTIZACION ANDAMIOS Y TABLONES,COTIZACION ANDAMIOS Y TABLONES,COTIZACION ANDAMIOS Y TABLONES,COTIZACION ANDAMIOS Y TABLONES,COTIZACION ANDAMIOS Y TABLONES
LEONARDO ARIAS: 3182927727,LEONARDO ARIAS: 3182927727,LEONARDO ARIAS: 3182927727,LEONARDO ARIAS: 3182927727,LEONARDO ARIAS: 3182927727,LEONARDO ARIAS: 3182927727,LEONARDO ARIAS: 3182927727,LEONARDO ARIAS: 3182927727
OBRA: CRA 35 CON CALLE 48,OBRA: CRA 35 CON CALLE 48,OBRA: CRA 35 CON CALLE 48,OBRA: CRA 35 CON CALLE 48,OBRA: CRA 35 CON CALLE 48,OBRA: CRA 35 CON CALLE 48,OBRA: CRA 35 CON CALLE 48,OBRA: CRA 35 CON CALLE 48
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO
MATERIAL,DIAS,CANTIDAD,VALOR,"COSTO 
DIARIO","PRECIO
 DIARIO","PESO
 EN KG","TOTAL
 PESO "
"SECCIONES DE  ANDAMIO 1,5 M",5,5,1200,6000,30000,40,200
TABLONES 3M,5,5,500,2500,12500,19,95
RUEDASNIVELADORAS,5,4,750,3000,15000,1,4
5 DIAS,5 DIAS,SUB-TOTAL DIARIO,SUB-TOTAL DIARIO,11500,PESO TOTAL,PESO TOTAL,299
5 DIAS,5 DIAS,ALQUILER 5 DIAS,ALQUILER 5 DIAS,57500,,,
5 DIAS,5 DIAS,TRANSPORTE,TRANSPORTE,60000,,,
5 DIAS,5 DIAS,TOTAL ,TOTAL ,117500,,,
DEPOSITO,400000,,,,,,
CEDULA DE REPRESENTE LEGAL,,,,,,,
LLENAR FORMATO CLIENTES,,,,,,,
RECIBO SERVIVIOS PUBLICOS INMUEBLE,,,,,,,
