ANTONIO GUTIERREZ,ANTONIO GUTIERREZ,ANTONIO GUTIERREZ,ANTONIO GUTIERREZ,ANTONIO GUTIERREZ,ANTONIO GUTIERREZ,ANTONIO GUTIERREZ
BERLIN,BERLIN,BERLIN,BERLIN,BERLIN,BERLIN,BERLIN
MOVIMIENTO:JULIO/2026,MOVIMIENTO:JULIO/2026,MOVIMIENTO:JULIO/2026,MOVIMIENTO:JULIO/2026,MOVIMIENTO:JULIO/2026,MOVIMIENTO:JULIO/2026,MOVIMIENTO:JULIO/2026
MATERIAL,SALDO ,13832,13847,13513,,SALDO
,JUNIO ,2026-07-08,2026-07-14,2026-07-23,,2026-07-31
PARALES DE 3 MTROS ,154,,,,,154
"TABLEROS DE MADERA 70*1,40",100,,,,,100
CERCHAS DE 2 MTROS ,5,,,,,5
CERCHAS DE 3 MTROS ,65,,,,,65
"CERCHAS DE 1,50",1,,,,,1
"CERCHAS DE 1,20",2,,,,,2
"BANDAS DE MADERA DE 40*1,40",10,,,,,10
"FORMALETA DE 40*1,20",,12,,-12,,
"FORMALETA DE 30*1,20",,12,,-12,,
FORMALETA DE 40*40 ,,6,,-6,,
FORMALETA DE 30*60,,6,,-6,,
ANGULOS DE 60,,12,,-12,,
"ANGULOS DE 1,20",,24,3,-27,,
CHAPETAS ,,350,,-350,,
HORA,,08:50,10:25,09:30,,1.1979166666666667
Transporte,,ESK-323,a pie,CCL-358,,
