DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ
FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO,FERRETERIA VENADO DE ORO
MOVIMIENTO:JULIO /2026,MOVIMIENTO:JULIO /2026,MOVIMIENTO:JULIO /2026,MOVIMIENTO:JULIO /2026,MOVIMIENTO:JULIO /2026,MOVIMIENTO:JULIO /2026,MOVIMIENTO:JULIO /2026,MOVIMIENTO:JULIO /2026,MOVIMIENTO:JULIO /2026,MOVIMIENTO:JULIO /2026
0,SALDO,13464,13868,13869,13510,,,,SALDO
,JUNIO ,2026-07-03,2026-07-21,2026-07-21,2026-07-21,,,,2026-07-31
"TABLEROS DE MADERA DE 70*1,40",38,-34,,,,,,,4
CERCHAS DE 3 MTROS,10,-6,8,,,,,,12
"CERCHAS DE 1,50  MTROS",6,,,,,,,,6
PARALES DE 3 MTROS,4,,8,,,,,,12
PARALES DE 4 MTROS,11,,8,,-8,,,,11
PARALES DE 6 MTROS,12,-12,,,,,,,
CERCHAS DE 2 MTROS ,5,-5,,,,,,,
"FORMALETA DE 60*1,20",,,23,,,,,,23
"FORMALETA DE 40*1,20",,,12,,,,,,12
"FORMALETA DE 30*1,20",,,15,18,,,,,33
"FORMALETA DE 25*1,20",,,,12,,,,,12
FORMALETA DE 25*60,,,,6,,,,,6
RINCONERAS DE 10*10*60,,,4,,,,,,4
"RINCONERAS DE 10*10*1,20",,,2,,,,,,2
PARAL DE 1 METRO,,,8,,,,,,8
"ANGULOS DE 1,20",,,8,24,,,,,32
ANGULOS DE 60,,,16,12,,,,,28
TENSORES,,,36,,,,,,36
CHAPETAS ,,,200,,,,,,200
ALINEADORES DE 3 MTROS ,,,5,,,,,,5
ALINEADORES DE 6 MTRO ,,,5,,,,,,5
HORA,,10:00,02:48,03:00,02:45,,,,0.7729166666666667
Transporte,,CCL-358,SOI-790,SOI-790,SOI-790,,,,
,,CERCOS PARTIDOS 1,,,1 GANCHO,,3 TABLAS DAÑADAS,,2 TABLAS PARTIDAS
,,TABLA DE 70 CM FALTANTES 10,,,,,,,
