EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA
SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA 
FECHA: 30 AGOSTO  DE 2021,FECHA: 30 AGOSTO  DE 2021,FECHA: 30 AGOSTO  DE 2021,FECHA: 30 AGOSTO  DE 2021,FECHA: 30 AGOSTO  DE 2021
,,,,
,,,,
1,1,ACTIVO,,
,,,,
11,11,Efectivo y equivalentes al efectivo,,
1105,1105,Caja,,31272301
110505,110505,Caja general,31272301,
1120,1120,Cuentas de ahorro,,
112005,112005,Bancos,,5634973
11200501,11200501,BBVA,5634973,
11200502,,Davivienda,,
,,,,
13,13,Cuentas por cobrar (instrumentos financieros),,
1305,1305,Clientes,,7483662
130505,130505,Nacionales,,
,,Fenix Constructores ,5855549,
,,Construcasa,1386670,
,,gonzalez bohorque,241443,
,,,,
,,,,
130515,130515,Deudores facturacion sin iva,,6005402
,,Miriam Serrano ,4577126,
,,Clientes varios ,1428276,
,,,,
1355,1355,Anticipo de impuestos y contribuciones o saldos a favor,,2836193
135505,135505,Anticipo de impuestos de renta y complementarios,1762000,
135518,,Reteica ,51861,
135515,135515,Retención en la fuente ,771332,
135517,135517,Impuesto a las ventas retenido,0,
13559006,13559006,Autorretencion de renta,251000,
,,,,
14,14,Inventarios,,166485896
1435,1435,Mercancías no fabricadas por la empresa,166485896,
,,,,
,,,,
15,15,Propiedades planta y equipo,,354443971
1512,1512,Maquinaria y equipos en montaje,10126196,
151210,151210,Equipo de oficina,10126196,
1516,1516,Construcciones y edificaciones,381000000,
151605,151605,Apto sion ,91000000,
151610,151610,Apto tamara,290000000,
1524,1524,Equipo de oficina,1070000,
152410,152410,Equipos,1070000,
1528,1528,Equipo de computación y comunicación,3109000,
152805,152805,Equipo de procesamiento de datos,3109000,
1540,1540,Flota y equipo de transporte,34596000,
154008,154008,"Camiones, volquetas y furgones",34596000,
1592,1592,Depreciación acumulada,-75457225,
,,,,
16,16,Intangibles,,2548980
1635,1635,Licencias,2548980,
,,,,
TOTAL ACTIVO ,TOTAL ACTIVO ,TOTAL ACTIVO ,,576711378
,,,,
,,,,
,,,,
2365,2365,Retención en la fuente,,63000
236525,236525,Retención en la fuente,55000,
236706,,Autorretencion,8000,
,,,,
2370,2370,Retenciones y aportes de nómina,,282100
237005,237005,Aportes a entidades promotoras de salud EPS,124700,
237006,237006,Aportes a administradoras de riesgos profesionales arp,32700,
237010,237010,"Aportes al i.c.b.f, sena y cajas compensación",124700,
2380,2380,Acreedores varios,,498700
238030,238030,Fondos de cesantías y/o pensiones,498700,
,,,,
,,,,
24,24,"Impuestos, gravámenes y tasas",,437000
2408,2408,Impuesto sobre las ventas por pagar,437000,
2412,,industria y comercio ,0,
,,,,
,,,,
,,,,
26,26,Provisión de pasivos,,
2610,2610,Para obligaciones laborales,,3454995
261005,261005,Cesantías,1861238,
261010,261010,Intereses sobre cesantías,214175,
261015,,Vacaciones,465310,
261020,,Prima ,914272,
,,,,
,,,,
,,,,
22,22,PROVEEDORES,,
2205,2205,Nacionales,,1264428
221005,221005,Proveedores por debajo,,
,,Olga gomez (metalmartinez),1264428,
,,,,
,,,,
TOTAL PASIVO ,TOTAL PASIVO ,TOTAL PASIVO ,TOTAL PASIVO ,6000223
,,,,
,,,,
3,3,PATRIMONIO,,
,,,,
31,31,Capital social,,574301990
3105,3105,Capital suscrito y pagado,574301990,
310505,310505,Capital autorizado,,
,,,,
,,,,
36,36,Resultados del ejercicio,,-3590834.633333333
3605,3605,Perdida del ejercicio ,-3590834.633333333,
360501,360501,Perdida del ejercicio ,-3590834.633333333,
,,,,
37,,UTILIDAD DEL EJERCICIO ANTERIORES ,,
37,,Utilidad de ejercicios anteriores,,
,,,,
,,,,
TOTAL PATRIMONIO ,TOTAL PATRIMONIO ,TOTAL PATRIMONIO ,TOTAL PATRIMONIO ,570711155.3666667
,,,,
TOTAL PATRIMONIO  Y PASIVO,TOTAL PATRIMONIO  Y PASIVO,TOTAL PATRIMONIO  Y PASIVO,TOTAL PATRIMONIO  Y PASIVO,576711378.3666667
,,,,
,,,,0
,,,,-0.36666667461395264
