CAMILO,CAMILO,CAMILO,CAMILO,CAMILO,CAMILO,CAMILO
MIRADOR DE LA UIS TEL: 3124971605,MIRADOR DE LA UIS TEL: 3124971605,MIRADOR DE LA UIS TEL: 3124971605,MIRADOR DE LA UIS TEL: 3124971605,MIRADOR DE LA UIS TEL: 3124971605,MIRADOR DE LA UIS TEL: 3124971605,MIRADOR DE LA UIS TEL: 3124971605
MOVIMIENTO: JULIO 26 A AGOSTO 1/ 2025,MOVIMIENTO: JULIO 26 A AGOSTO 1/ 2025,MOVIMIENTO: JULIO 26 A AGOSTO 1/ 2025,MOVIMIENTO: JULIO 26 A AGOSTO 1/ 2025,MOVIMIENTO: JULIO 26 A AGOSTO 1/ 2025,MOVIMIENTO: JULIO 26 A AGOSTO 1/ 2025,MOVIMIENTO: JULIO 26 A AGOSTO 1/ 2025
MATERIAL,12891,11680,11684,,,SALDO 
MATERIAL,2025-07-26,2025-07-31,2025-08-01,,,2025-05-31
"FORMALETA DE 40*1,20",16,-14,-2,,,
"FORMALETA DE 20*1,20",16,-12,-4,,,
"ANGULOS DE 1,20",16,-13,-3,,,
ANGULOS DE 60,32,-30,-2,,,
PARALES DE 3 MTROS,16,-12,-4,,,
CHAPETAS,400,-350,-50,,,
CAJAS METALICAS,2,-2,,,,
Hora,11:00,09:30,07:30,,,1.1666666666666665
TRANSPORTE,35000,35000,,,,70000
,,,,,,
,,,,,,
  PUERTO RICOCAMILO: 3124971605,  PUERTO RICOCAMILO: 3124971605,  PUERTO RICOCAMILO: 3124971605,  PUERTO RICOCAMILO: 3124971605,  PUERTO RICOCAMILO: 3124971605,  PUERTO RICOCAMILO: 3124971605,
MOVIMIENTO: JULIO 26 A AGOSTO 1/ 2025,MOVIMIENTO: JULIO 26 A AGOSTO 1/ 2025,MOVIMIENTO: JULIO 26 A AGOSTO 1/ 2025,MOVIMIENTO: JULIO 26 A AGOSTO 1/ 2025,MOVIMIENTO: JULIO 26 A AGOSTO 1/ 2025,MOVIMIENTO: JULIO 26 A AGOSTO 1/ 2025,
MATERIAL,DETALLES,,,COSTOS,,
,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO PERIODO,
FORMALETA DE 20*1.20,5,16,250,4000,20000,
FORMALETA DE 40*1.20,5,16,300,4800,24000,
"ANGULOS DE 1,20",5,16,100,1600,8000,
ANGULOS DE 60,5,32,60,1920,9600,
PARALES DE 3 MTROS,5,16,150,2400,12000,
CHAPETAS,5,400,25,10000,50000,
,,TOTAL DIARIO,TOTAL DIARIO,24720,,
5 DIAS,,TOTAL DIAS ,TOTAL DIAS ,123600,,
,,LLEVADA Y RECOGIDA,LLEVADA Y RECOGIDA,70000,,
,,TOTAL DIAS ,TOTAL DIAS ,190000,,
REQUISITOS,,,,,,
DEPOSITO     ,,400000,,,,
