MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL 
MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759
MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026
MATERIAL,13989,13990,13648,,,,,SALDO 
,2026-09-03,2026-09-04,2026-09-17,,,,,2026-09-30
"TABLEROS DE MADERA DE 70*1,40",12,70,-45,,,,,37
"BANDAS DE MADERA DE 40*1,40",,10,,,,,,10
CERCHAS DE 3 MTROS ,24,,,,,,,24
PARALES DE 3 MTROS ,65,,-65,,,,,
HORA,10:10,10:30,10:00,,,,,
Transporte,CTZ,CTZ,CTZ,,,,,
,,,,,,,,
,,,,,,,,
MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL 
MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759
MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026,MOVIMIENTO: SEPTIEMBRE/2026
MATERIAL,14021,14026,14027,14031,14034,14035,13656,SALDO 
,2026-09-15,2026-09-16,2026-09-16,2026-09-18,2026-09-17,2026-09-17,2026-09-19,2026-09-30
CHAPETAS ,200,400,,400,,400,,1400
"FORMALETA DE 60*1,20",68,16,,,33,,,117
FORMALETA DE 60*60,1,,4,1,,,-1,5
"FORMALETA 12*1,20",3,,,1,,,-1,3
"FORMALETA DE 40*1,20",2,4,,6,2,,,14
FORMALETA DE 40*60,1,2,,,1,,,4
"FORMALETA DE 35*1,20",,2,,,,,,2
FORMALETA DE 35*60,,1,,,,,,1
"FORMALETA DE 30*1,20",,2,,,2,,,4
FORMALETA DE 30*60,,1,,,1,,,2
"FORMALETA DE 20*1,20",,2,,,,,,2
FORMALETA DE 20*60,,1,,,,,,1
"FORMALETA DE 10*1,20",,6,,,6,,-2,10
FORMALETA DE 10*60,,,3,,3,,-4,2
"RINCONERA DE 15*15*1,20",4,,,1,4,,,9
"ANGULOS DE 2,40",2,6,,,,,,8
ANGULOS DE 60,2,6,,3,4,,-1,14
"ANGULOS DE 1,20",,,,,10,2,,12
"RINCONERA DE 10*10*1,20",2,,12,,2,,-2,14
RINCONERA DE 10*10*60,1,,6,,1,,-1,7
"FORMALETA DE 15*1,20",6,,6,,6,,-3,15
ALINEADORES DE 3 MTROS ,6,6,,1,3,,,16
"ALINEADORES DE 2,5",,3,,1,3,,,7
ALINEADORES DE 6 MTRS ,,6,,,,,,6
ALINEADORES DE 2 MTROS ,,,,5,,,,5
TENSORES ,24,65,,32,22,,,143
"FORMALETA DE 5*1,20",4,,3,13,,,-2,18
CORBATA DE MURO e=15,22,,40,,,80,,142
CORBATA DE MURO E=30,4,,,,,,,4
PINES,52,,79,,,160,,291
CAJA METALICA ,1,,2,,,2,,5
"FORMALETA DE 25*1,20",,,2,,,,,2
FORMALETA DE 25*60,,,1,,,,-1,
"FORMALETA DE 50*1,20",,,4,,,,,4
FORMALETA DE 50*60,,,2,,,,-1,1
PARALES DE 4 MTRO,,,30,,38,,,68
PARALES DE 6 MTROS ,,,,6,,,,6
HORA,02:00,08:30,08:30,10:30,10:AM,10:00,10:00,
Transporte,120,CTZ ,CTZ,60000,,100,20000,
